- inbalanced -------------------------------------------------------------------
0x4059c0 {'malloc': 0, 'reallo': 0, 'free': 0, 'calloc': 1, 'realla': 0, 'idx': 422}
0x405af0 {'malloc': 0, 'reallo': 0, 'free': 0, 'calloc': 1, 'realla': 0, 'idx': 504}
0x405c20 {'malloc': 0, 'reallo': 0, 'free': 0, 'calloc': 1, 'realla': 0, 'idx': 615}
0x405d50 {'malloc': 0, 'reallo': 0, 'free': 0, 'calloc': 1, 'realla': 0, 'idx': 735}
- invalid ----------------------------------------------------------------------
0x7ffff0000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 30}
0x7ffff0000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 55}
0x7ffff0000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 68}
0x7fffe8000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 93}
0x0 {'malloc': 0, 'reallo': 0, 'free': 3616, 'calloc': 0, 'realla': 0, 'idx': 108}
0x7fffe8000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 121}
0x7ffff0001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 148}
0x7fffe4000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 161}
0x7fffe8000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 175}
0x7fffe4000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 188}
0x7ffff00010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 203}
0x7fffdc000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 228}
0x7fffe4000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 242}
0x7fffdc000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 283}
0x7fffd8000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 308}
0x7ffff0001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 323}
0x7fffe8001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 338}
0x7fffdc000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 367}
0x7fffd8000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 380}
0x7ffff00013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 395}
0x7fffe80010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 410}
0x7fffd0000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 450}
0x7fffe4001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 465}
0x7fffd8000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 479}
0x7fffd0000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 517}
0x7fffdc001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 532}
0x7fffe40010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 547}
0x7fffcc000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 588}
0x7fffdc0010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 603}
0x7fffc4000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 654}
0x7fffd0000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 668}
0x7fffe8001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 696}
0x7ffff0001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 708}
0x7fffd8001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 723}
0x7fffcc000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 748}
0x7fffdc001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 778}
0x7fffe80013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 793}
0x7fffe4001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 808}
0x7fffc4000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 821}
0x7fffc0000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 834}
0x7fffd80010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 849}
0x7fffcc000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 889}
0x7fffdc0013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 904}
0x7fffe40013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 919}
0x7fffc4000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 959}
0x7ffff0001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 987}
0x7fffe8001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 1014}
0x7fffd0001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 1029}
0x7fffc0000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1042}
0x7fffd8001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1096}
0x7fffc0000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 1110}
0x7fffb8000b70 {'malloc': 0, 'reallo': 0, 'free': 11, 'calloc': 5, 'realla': 0, 'idx': 1123}
0x7fffd00010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1138}
0x7ffff0001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1166}
0x7fffcc001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 1181}
0x7fffd80013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1196}
0x7fffe4001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 1236}
0x7fffcc0010a0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1251}
0x7fffe8001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 1266}
0x7fffb8000bc0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1279}
0x7fffd0001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1348}
0x7fffb8000fd0 {'malloc': 0, 'reallo': 0, 'free': 23, 'calloc': 2, 'realla': 0, 'idx': 1375}
0x7fffe8001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1390}
0x7fffe4001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 1418}
0x7fffc0001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 1461}
0x7fffd00013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1476}
0x7fffdc001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 1488}
0x7ffff0001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 1500}
0x7fffcc001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1515}
0x7fffc4001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 1530}
0x7fffb8001060 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 6, 'realla': 0, 'idx': 1545}
0x7fffd8001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 1557}
